sample_id,prefix_len,fp32_top1_logit,fp32_margin,int8_top1_logit,int8_margin,fp32_argmax_id,int8_argmax_id,margin_diff_abs
common_voice_de_18212897,8,15.096085548400879,0.23989391326904297,15.041669845581055,0.3195056915283203,52,52,0.07961177825927734
common_voice_de_18212942,0,11.751638412475586,0.4717216491699219,12.008200645446777,0.3398466110229492,64,64,0.13187503814697266
common_voice_de_18217164,0,14.17187213897705,1.2923851013183594,13.755475044250488,1.240248680114746,1301,1301,0.05213642120361328
common_voice_de_18217624,1,14.285807609558105,0.6361074447631836,14.041497230529785,0.2651386260986328,6098,6098,0.3709688186645508
common_voice_de_18218496,0,14.246292114257812,0.22678852081298828,14.316524505615234,0.6690397262573242,7035,432,0.44225120544433594
common_voice_de_18219069,13,4.759735584259033,0.9714689254760742,4.201671600341797,0.874852180480957,570,570,0.09661674499511719
common_voice_de_18220077,1,11.417686462402344,0.1113576889038086,11.13459300994873,0.11358833312988281,36,38,0.0022306442260742188
common_voice_de_18224172,2,8.418920516967773,0.12388134002685547,8.634175300598145,0.5471649169921875,58,58,0.42328357696533203
common_voice_de_18224586,2,13.91417121887207,3.1008996963500977,14.029403686523438,3.473306655883789,128,128,0.3724069595336914
common_voice_de_18225322,5,12.74189567565918,0.26044559478759766,12.888340950012207,0.03863716125488281,22,413,0.22180843353271484
common_voice_de_18232760,7,12.841462135314941,1.4934463500976562,12.262744903564453,1.3810672760009766,4,4,0.11237907409667969
common_voice_de_18268003,0,13.124774932861328,0.2514677047729492,13.313365936279297,0.619232177734375,295,295,0.3677644729614258
common_voice_de_18283748,0,13.567715644836426,0.801666259765625,13.961115837097168,1.4916048049926758,1877,1877,0.6899385452270508
common_voice_de_18334908,3,11.28740406036377,1.155562400817871,10.845057487487793,0.9459075927734375,4,4,0.2096548080444336
common_voice_de_18335303,3,13.843362808227539,0.32877445220947266,13.360201835632324,0.10144329071044922,47321,2,0.22733116149902344
common_voice_de_18341379,12,12.469696044921875,0.3260679244995117,12.147754669189453,0.13222217559814453,2,2,0.1938457489013672
common_voice_de_18347370,1,15.314582824707031,1.637704849243164,15.370461463928223,1.7183151245117188,355,355,0.08061027526855469
common_voice_de_18362046,6,13.423773765563965,0.8898582458496094,13.341413497924805,0.9025459289550781,4,4,0.01268768310546875
common_voice_de_18364890,7,11.93341064453125,0.1420602798461914,11.554266929626465,0.4034585952758789,43,43,0.2613983154296875
common_voice_de_18410463,1,11.664461135864258,0.29102230072021484,11.549911499023438,0.17700767517089844,128,128,0.1140146255493164
common_voice_de_18421245,0,12.53081226348877,1.051137924194336,12.568134307861328,1.1754608154296875,36,36,0.12432289123535156
