sample_id,source_char_len,source_word_count,fp32_chrf,int8_chrf,delta_chrf,fp32_latency_ms,int8_latency_ms,delta_latency_ms
common_voice_de_18944037,52,7,92.65042883694886,92.65042883694886,0.0,715.8845000003566,638.9586999994208,76.92580000093585
common_voice_de_18283748,88,9,74.50649501458014,48.20837130521406,26.29812370936608,1417.0571999998174,2331.6077999998015,-914.5505999999841
common_voice_de_18499334,48,8,83.13399275944465,83.13399275944465,0.0,605.4561000000831,684.6610000002329,-79.20490000014979
common_voice_de_18829560,59,11,72.45965401302915,81.71943414074207,-9.259780127712915,988.479699999516,960.6257999994341,27.85390000008192
common_voice_de_18963110,65,8,50.22156159147914,50.22156159147914,0.0,915.6031999991683,765.8196000002135,149.78359999895474
common_voice_de_18773472,45,6,100.0,100.0,0.0,946.7893000000913,894.2018999996435,52.587400000447815
common_voice_de_18138992,70,9,72.42201687679757,72.42201687679757,0.0,963.2299999998395,1909.0874000003168,-945.8574000004774
common_voice_de_17307132,51,7,66.07359483943509,66.07359483943509,0.0,885.5599999999981,1850.1040999999532,-964.544099999955
common_voice_de_19166034,51,5,81.1215753291035,81.1215753291035,0.0,701.1118999998871,722.8608000004897,-21.74890000060259
common_voice_de_19597288,58,9,61.72536177495389,61.72536177495389,0.0,1204.3412000002718,1939.398300000903,-735.0571000006312
common_voice_de_19128606,98,14,43.43638226358961,43.43638226358961,0.0,1240.6834999992498,1352.9743999988568,-112.29089999960706
common_voice_de_17834609,76,9,58.198987432390304,64.17584697676809,-5.976859544377781,1423.7675999997919,1127.3504000000685,296.4171999997234
common_voice_de_18127700,35,6,18.798824107473383,18.798824107473383,0.0,739.4055999998272,1104.7888000002786,-365.3832000004513
common_voice_de_18597258,46,8,17.86741065941919,17.86741065941919,0.0,737.4159999999392,820.456400000694,-83.04040000075474
common_voice_de_19740991,70,9,58.19789487945697,6.3762638965110146,51.821630982945955,1812.110799999573,1327.058599999873,485.05219999969995
common_voice_de_18463713,58,8,40.527610891721004,40.527610891721004,0.0,964.9753000003329,1120.4201999998986,-155.44489999956568
common_voice_de_19839900,45,8,47.65002854320714,58.83779399363252,-11.187765450425381,909.1430999997101,1412.2796999999991,-503.13660000028904
common_voice_de_18204228,94,11,100.0,92.2723292984731,7.727670701526904,1531.7600999997012,1481.5520000001925,50.208099999508704
common_voice_de_19943407,59,10,56.11948674482301,70.86059437303909,-14.741107628216085,1015.8668000003672,872.8828000000703,142.98400000029687
common_voice_de_19598273,96,13,41.54085369179817,41.096546873797095,0.4443068180010741,1659.4053999997413,2013.1354999994073,-353.730099999666
common_voice_de_19887355,66,9,59.38008836717297,59.38008836717297,0.0,1074.8223999999027,756.3413999998829,318.4810000000198
common_voice_de_17332549,54,7,81.88271229144956,81.88271229144956,0.0,1047.2784000000956,1233.6535000000595,-186.37509999996382
common_voice_de_19118612,97,14,79.79558956080793,79.79558956080793,0.0,1872.204000000238,1821.9767999999021,50.22720000033587
common_voice_de_19768702,61,8,67.220221392345,67.220221392345,0.0,1218.6537999987195,1859.9612000000434,-641.3074000013239
common_voice_de_19665037,25,3,36.0096409014597,36.0096409014597,0.0,791.9971999999689,1128.7589000003209,-336.761700000352
common_voice_de_18212901,69,10,51.95950763860271,64.66237252499397,-12.70286488639126,798.0526999999711,1423.7051999998585,-625.6524999998874
common_voice_de_18580314,92,12,68.96753743900918,67.66041157358204,1.307125865427139,1158.7933999999223,1125.9990999997171,32.79430000020511
common_voice_de_19548764,95,11,86.15982389266141,86.15982389266141,0.0,2492.5851999996667,1817.7635000010923,674.8216999985743
common_voice_de_19153366,86,14,71.42709770675904,71.42709770675904,0.0,1862.9850999996052,1553.9263999999093,309.0586999996958
common_voice_de_18309446,15,3,21.498932767984478,21.498932767984478,0.0,677.6731999998447,886.9601000005787,-209.28690000073402
common_voice_de_17421517,100,19,81.40857207003579,81.40857207003579,0.0,2133.5404000000153,1946.745700000065,186.79469999995035
common_voice_de_19758393,33,6,43.553212581122864,43.553212581122864,0.0,865.3192000001582,1230.6366000011622,-365.317400001004
common_voice_de_19705127,103,13,61.212583766221144,78.18048535195456,-16.967901585733415,1569.6327000005112,1946.9790000002831,-377.3462999997719
common_voice_de_18024467,29,5,67.8979382714689,67.8979382714689,0.0,829.3917999999394,1227.8610999997,-398.46929999976055
common_voice_de_18209001,64,9,100.0,100.0,0.0,935.9922999997252,1461.421099999825,-525.4288000000997
common_voice_de_18224602,75,12,39.06665738313017,39.06665738313017,0.0,977.0888999996714,2271.9569000000774,-1294.868000000406
common_voice_de_19548598,83,12,63.03707865685808,63.03707865685808,0.0,1717.327500000465,1499.764400001368,217.56309999909718
common_voice_de_18476533,11,1,1.3020833333333335,1.3020833333333335,0.0,356.5089000003354,636.2407999995412,-279.7318999992058
common_voice_de_17960115,103,19,75.92812361315953,75.92812361315953,0.0,1832.7189000001454,3354.3689999996786,-1521.6500999995333
common_voice_de_19757443,65,9,61.13021925432393,61.13021925432393,0.0,1009.5521999992343,1640.3366000013193,-630.784400002085
common_voice_de_18502752,66,11,61.504071653546276,61.504071653546276,0.0,1095.8776000006765,858.0818000000363,237.79580000064016
common_voice_de_19586642,12,2,8.5431654676259,8.5431654676259,0.0,690.8564000004844,808.2943000008527,-117.43790000036824
common_voice_de_19999269,94,11,56.57703416393275,56.57703416393275,0.0,1208.1472000008944,1108.7759999995797,99.37120000131472
common_voice_de_19153188,94,14,78.97175921172855,78.97175921172855,0.0,1661.2190000005285,1265.049599998747,396.16940000178147
common_voice_de_19158664,105,13,74.37579521593089,74.37579521593089,0.0,962.4976999994033,1120.3181999990193,-157.820499999616
common_voice_de_17317316,80,13,22.71822663845228,27.01964129124277,-4.301414652790491,1289.0037000000234,2673.949900000025,-1384.9462000000017
common_voice_de_19648629,60,6,7.267884799728433,80.68010472941553,-73.4122199296871,964.8534999996627,1556.0787000013079,-591.2252000016451
common_voice_de_19071633,32,6,59.56311670827714,59.56311670827714,0.0,770.8520000005592,809.0779000003749,-38.22589999981574
common_voice_de_19389641,89,14,71.35580242463479,71.35580242463479,0.0,2063.726399999723,1694.7690999986662,368.95730000105686
common_voice_de_18097800,46,8,34.98152249683867,34.98152249683867,0.0,947.6926000002095,1211.657699999705,-263.9650999994956
common_voice_de_18595340,69,12,52.81406515925242,52.81406515925242,0.0,943.2305999998789,987.3736999998073,-44.14309999992838
common_voice_de_18999393,31,5,51.9359839629296,51.9359839629296,0.0,461.3811999997779,515.3623999995034,-53.981199999725504
common_voice_de_19704150,52,9,55.96147867518123,55.96147867518123,0.0,938.1062000011298,1500.699899999745,-562.5936999986152
common_voice_de_18746113,52,8,86.6163681024925,86.6163681024925,0.0,680.8321999997133,842.1830999996018,-161.3508999998885
common_voice_de_18362045,52,8,46.03154389917162,46.03154389917162,0.0,790.5351999997947,1728.3400000005713,-937.8048000007766
common_voice_de_19514326,40,5,60.63449118083015,60.63449118083015,0.0,962.5710000000254,1545.2048999995895,-582.6338999995642
common_voice_de_19951358,65,10,72.72530285015728,72.72530285015728,0.0,1206.9446999994398,674.0281999998388,532.916499999601
common_voice_de_19748415,63,9,85.47424460401781,85.47424460401781,0.0,1157.1268000006967,1743.3282000001782,-586.2013999994815
common_voice_de_17458535,85,14,47.83801927482574,47.99850601539406,-0.16048674056831658,1425.0063000001774,2151.695699999891,-726.6893999997137
common_voice_de_19578327,61,8,49.98386477110856,49.98386477110856,0.0,1626.281700000618,1129.0065000011964,497.2751999994216
common_voice_de_18088390,34,6,33.89107973362038,33.89107973362038,0.0,885.3089999997792,1268.2049000000006,-382.89590000022145
common_voice_de_19548946,33,5,44.1018560415948,44.1018560415948,0.0,906.3016999989486,1259.8502000000735,-353.5485000011249
common_voice_de_19704893,71,11,63.35154484267166,63.35154484267166,0.0,1392.0871000009356,1739.370000001145,-347.28290000020934
common_voice_de_19171469,48,7,21.0804095816869,21.0804095816869,0.0,875.9725999989314,1084.7274999996444,-208.75490000071295
common_voice_de_18757612,74,11,80.0827551593862,80.0827551593862,0.0,1057.5278999995135,1101.1485999997603,-43.62070000024687
common_voice_de_19948105,36,5,100.0,100.0,0.0,573.2427999992069,552.4027000001297,20.84009999907721
common_voice_de_19957450,48,7,81.39870801306579,81.39870801306579,0.0,785.9318000009807,811.1380000000281,-25.206199999047385
common_voice_de_18823747,32,5,90.96072328709438,87.21587283977357,3.7448504473208146,733.2709000002069,660.7450999999855,72.52580000022135
common_voice_de_18692964,57,9,32.9817105424457,32.9817105424457,0.0,840.0965000000724,772.431699999288,67.66480000078445
common_voice_de_18310488,85,12,77.32261214234686,77.32261214234686,0.0,1325.9987000001274,2345.2893000003314,-1019.290600000204
common_voice_de_18416194,58,7,92.49251110282272,92.49251110282272,0.0,1160.7053999996424,1640.1684000002206,-479.4630000005782
common_voice_de_19135001,81,12,36.25601729348582,37.00400773606257,-0.7479904425767501,1669.2874000000302,1156.2477000006766,513.0396999993536
common_voice_de_19137272,88,13,46.68163841392303,45.489531142183715,1.1921072717393173,1542.7230000004784,1149.7715000004973,392.951499999981
common_voice_de_18653970,42,6,29.26702008628221,29.26702008628221,0.0,619.8041999996349,684.801399999742,-64.99720000010711
